Logs,Date/Time,Entry type?,Pee/Poop?,When?,Notes,Vibe?,Energy,Treat?,Logged By?
,"July 28, 2025 7:40 PM",training,None,19:12,Treat n train w/new food. Less malfunctions- only 1!! Added the target on the stand. Aware of moving to the target and then the treat comes. Need to add a cue for the target. Also worked on leave it. Adding the word!!! ,🎉 ,Medium,Yes,Adryan
,"July 28, 2025 12:22 AM",potty,"Pee, Poop",00:15,Woke him up. Slightly distracted. Peed quickly. Then sniffed for a bit and pooped. All done with more purpose. Good job kudos!,🎉 ,Low,Yes,Adryan
,"July 27, 2025 8:02 PM",meal,None,19:55,A bit bitey before meal time. Worked on adding the target to the treat n train. Did well,🎉 ,Medium,Yes,Adryan
,"July 27, 2025 8:02 PM",training,None,19:55,A bit bitey before meal time. Worked on adding the target to the treat n train. Did well,🎉 ,Medium,Yes,Adryan
,"July 27, 2025 6:35 PM",potty,Pee,18:20,Big pee. Up from a nap,🎉 ,Low,Yes,Adryan
,"July 27, 2025 9:03 AM",potty,Pee,08:50,First pee of the morning. Very eager and ready to release. Handled business like a champ. ,🎉 ,High,Yes,Haile
,"July 26, 2025 8:36 PM",meal,None,20:30,"Worked on solidifying ""2 paws"" and sliding into it from position. Go to bed as always in the mix. Need to work on luring. ",🎉 ,Medium,Yes,Adryan
,"July 26, 2025 8:36 PM",training,None,20:30,"Worked on solidifying ""2 paws"" and sliding into it from position. Go to bed as always in the mix. Need to work on luring. ",🎉 ,Medium,Yes,Adryan
,"July 26, 2025 7:26 PM",potty,Pee,07:20,He was barking at me for a bit and then signaled by going towards the door. Went outside and had a bit of a distraction but was able to get the job done as needed. ,🎉 ,High,Yes,Haile
,"July 26, 2025 12:44 PM",potty,Pee,12:40,"Progressive shrill barking. Clearly was fomo and also i guess he needed to pee. Barked when we went outside , almost to alert someone. ",🥴,High,Yes,Haile
,"July 26, 2025 12:42 PM",meal,,10:30,we worked on leave it kennel as well as the treat and train. I think the treat and train was successful. He’s starting to recognize the tone and act accordingly.,🎉 ,High,Yes,Haile
,"July 26, 2025 12:42 PM",training,,10:30,we worked on leave it kennel as well as the treat and train. I think the treat and train was successful. He’s starting to recognize the tone and act accordingly.,🎉 ,High,Yes,Haile
,"July 26, 2025 7:30 AM",potty,Poop,07:10,very little poop but he delivered so i followed up with the standard treat protocol ,🎉 ,Medium,Yes,Haile
,"July 26, 2025 6:34 AM",potty,Pee,06:30,Early morning pee after a rough evening. Went pee and was eager to be outside. ,🎉 ,High,Yes,Haile
,"July 25, 2025 3:54 PM",potty,Pee,15:50,Small pee,🎉 ,Low,Yes,Adryan
,"July 25, 2025 12:59 PM",potty,"Pee, Poop",12:41,Woke him up at daycare. Was still fast asleep. Saw him poop outside for sure..I'm guessing he peed..?,🎉 ,Medium,No,Adryan
,"July 23, 2025 8:23 PM",meal,None,20:10,"Could tell he was hungry and tired. Worked on go to bed but that was out. Got him consistent with the block and added a cue ""2 paws"" one more session and I think he will be ready for the next step and had the cue solidified ",🎉 ,Medium,Yes,Adryan
,"July 23, 2025 8:23 PM",training,None,20:10,"Could tell he was hungry and tired. Worked on go to bed but that was out. Got him consistent with the block and added a cue ""2 paws"" one more session and I think he will be ready for the next step and had the cue solidified ",🎉 ,Medium,Yes,Adryan
,"July 22, 2025 7:59 PM",potty,Pee,19:55,"Woke up from a nap, peed",🎉 ,Low,Yes,Adryan
,"July 22, 2025 3:36 PM",potty,Pee,15:10,Good pee. ,🎉 ,Medium,Yes,Adryan
,"July 22, 2025 11:06 AM",meal,None,10:38,"After a walk, which also includes some nice focus work and not chasing a random kid playing with his soccer ball. Need to find a fix for loose leash walking. End of walk, using the clicker to reward what I wanted and circle walking helped. ",🎉 ,Medium,Yes,Adryan
,"July 22, 2025 11:06 AM",training,None,10:38,"After a walk, which also includes some nice focus work and not chasing a random kid playing with his soccer ball. Need to find a fix for loose leash walking. End of walk, using the clicker to reward what I wanted and circle walking helped. ",🎉 ,Medium,Yes,Adryan
,"July 22, 2025 8:53 AM",potty,"Pee, Poop",08:50,Good long pee. Pooped quickly too,🎉 ,Low,Yes,Adryan
,"July 21, 2025 10:04 PM",potty,"Pee, Poop",21:55,Woke him up for a pee n poop. Poop took forever. ,🎉 ,Low,Yes,Adryan
,"July 20, 2025 7:41 AM",potty,"Pee, Poop",07:25,"Woke up from a long slumber, knew that he had to pee. Heard a bit of whining and wrestling in the crate went outside immediate pee. Did a couple loops around the yard ended with a successful poop.",🎉 ,High,Yes,Haile
,"July 19, 2025 7:39 PM",meal,None,19:30,we worked on bed within the X pen along with bed outside of the X pen and going to the garage door. We also worked on kennel and a couple repetitions of leave it exercise.,🎉 ,High,Yes,Haile
,"July 19, 2025 7:39 PM",training,None,19:30,we worked on bed within the X pen along with bed outside of the X pen and going to the garage door. We also worked on kennel and a couple repetitions of leave it exercise.,🎉 ,High,Yes,Haile
,"July 19, 2025 6:20 PM",potty,Pee,18:00,"Quite barky in the xpen, had some play time but had woken up from a nap and it was only a matter of time. He was able to pee with minimal distraction. He ate some grass as well. ",🎉 ,High,Yes,Haile
,"July 19, 2025 2:49 PM",potty,Pee,14:35,Was barky in the x-pen when i measured his neck. I signaled with sitting by the door and staring at me. Very clear. ,🎉 ,High,Yes,Haile
,"July 19, 2025 8:00 AM",meal,,07:24,"Fed via snuffle mat, post walk. the walk was full of dogs and new smells. He was very involved. still working on leash pulling and getting his attention. Need to work on recall i think. ",🎉 ,High,Yes,Haile
,"July 19, 2025 7:03 AM",potty,"Pee, Poop",06:28,"waking up , he was pretty eager to signal by the door. got a pee first and then a poop. ",🎉 ,High,Yes,Haile
,"July 17, 2025 6:37 PM",potty,Pee,18:29,"post dinner , could tell he was feeling a little feisty. went outside , pretty distracted but we got a decent pee. ",🥴,High,Yes,Haile
,"July 17, 2025 6:19 PM",meal,,18:00,"we had a very active training session this evening. We used the treat and train as well as the kennel and the snuffle mat. We recorded some of the footage of this new set up of putting the treat and train on top of a tote to eliminate the scratching of the machine. He attempted to scratch, said machine at least twice, but was unable to do to the height of the machine, he seems to get stuck in a pattern, so I made sure to break up the reps of the treat and train and the kennel as well as downs and find it. ",🎉 ,High,Yes,Haile
,"July 17, 2025 6:19 PM",training,,18:00,"we had a very active training session this evening. We used the treat and train as well as the kennel and the snuffle mat. We recorded some of the footage of this new set up of putting the treat and train on top of a tote to eliminate the scratching of the machine. He attempted to scratch, said machine at least twice, but was unable to do to the height of the machine, he seems to get stuck in a pattern, so I made sure to break up the reps of the treat and train and the kennel as well as downs and find it. ",🎉 ,High,Yes,Haile
,"July 17, 2025 12:57 PM",potty,"Pee, Poop",12:40,"Made it back home after 3.5 hrs of crate time. consistently howling & whining. He needed to poop and pee which was obvious. his poop was a little soft , probably due to the meds given yesterday. ",🎉 ,High,Yes,Haile
,"July 17, 2025 7:26 AM",potty,"Pee, Poop",06:35,"Super early morning, walk to let out his energy. He was very adamant on exploring all of the driveways and seeing all of the birds and squirrels his bum leg seems to still be prevalent. We are keeping a close eye. He is very much butt high.",🎉 ,High,Yes,Haile
,"July 16, 2025 8:07 PM",potty,"Pee, Poop",19:53,"after a successful training session, we went outside for a little walk. He gave me a poop in the backyard, followed by a pee in the front yard.  ",🎉 ,High,Yes,Haile
,"July 16, 2025 7:38 PM",meal,None,19:24,Worked with the treat & train inside of the x-pen. mixed in with some kennel & find its. ,🎉 ,High,Yes,Haile
,"July 16, 2025 7:38 PM",training,None,19:24,Worked with the treat & train inside of the x-pen. mixed in with some kennel & find its. ,🎉 ,High,Yes,Haile
,"July 16, 2025 12:53 PM",potty,Pee,11:45,Barked at me from the crate after waking up from a nap. ,🥴,Medium,Yes,Haile
,"July 16, 2025 9:05 AM",meal,Pee,08:00,"worked with the tree and train along with find it’s and kennel work. Pretty barky after , probably due to being tired. Put him to bed in the crate for next couple of hours ",🎉 ,High,Yes,Haile
,"July 16, 2025 9:05 AM",potty,Pee,08:00,"worked with the tree and train along with find it’s and kennel work. Pretty barky after , probably due to being tired. Put him to bed in the crate for next couple of hours ",🎉 ,High,Yes,Haile
,"July 16, 2025 9:05 AM",training,Pee,08:00,"worked with the tree and train along with find it’s and kennel work. Pretty barky after , probably due to being tired. Put him to bed in the crate for next couple of hours ",🎉 ,High,Yes,Haile
,"July 16, 2025 7:21 AM",potty,"Pee, Poop",06:43,woke up to self crying. It was clear that he needed to go went outside and we were able to get a pee and poop.,🎉 ,High,Yes,Haile
,"July 15, 2025 8:01 PM",potty,Pee,19:29,"he was a smidge barky, and I had a feeling that he needed to go pee. We decided to venture outside and in fact had to go.",🎉 ,Medium,Yes,Haile
,"July 15, 2025 6:44 PM",meal,None,18:30,"Second time using the tree and train say it was overall we ended up only doing about half of the meal. I added some distance between me and the machine in order for him to walk back to me and give the machine time to dispense the treat that lasted for a few reps. I said we had 5 to 8 good reps in a row which I think is a win tomorrow we will focus on more distance and he only scratched out the machine three times however, the machine did get jammed a couple times so will do further research and investigate   ",🎉 ,High,Yes,Haile
,"July 15, 2025 6:44 PM",training,None,18:30,"Second time using the tree and train say it was overall we ended up only doing about half of the meal. I added some distance between me and the machine in order for him to walk back to me and give the machine time to dispense the treat that lasted for a few reps. I said we had 5 to 8 good reps in a row which I think is a win tomorrow we will focus on more distance and he only scratched out the machine three times however, the machine did get jammed a couple times so will do further research and investigate   ",🎉 ,High,Yes,Haile
,"July 15, 2025 5:24 PM",potty,Poop,17:15,Went sniffing and scratched at the door. Led to a successful midday/evening poop. ,🎉 ,High,Yes,Haile
,"July 15, 2025 3:19 PM",potty,Pee,15:13,"Raced down the stairs , scratched at the door. seems to be the new signal. Lots of water drinking , he really had to go. ",🎉 ,High,Yes,Haile
,"July 15, 2025 12:01 PM",potty,Pee,11:27,a bit barky after the car ride. Back in a new space and all the new smells. too him out and put him in his crate for the next couple of hours. ,🎉 ,High,Yes,Haile
,"July 15, 2025 1:02 AM",potty,Pee,01:00,Woke him up from his slumber. Went pee outside with little fuss. ,🎉 ,Low,Yes,Adryan
,"July 14, 2025 6:15 PM",potty,"Pee, Poop",18:15,Outside during a walk,🎉 ,High,Yes,Both
,"July 14, 2025 4:57 PM",note,None,16:45,All nails dremeled!,🎉 ,Medium,Yes,Adryan
,"July 14, 2025 8:36 AM",potty,"Pee, Poop",08:25,Slight throw up this morning- spit up. Not concerned. Peed and pooped! He seems to want to poop in the morning if focuses. Easily distracted. ,🎉 ,Low,Yes,Adryan
,"July 13, 2025 9:36 AM",meal,None,09:30,"Tried to work on leaving him on the mat, not his day. More block work. Should add cue soon? Some come commands. He likes that",🎉 ,Medium,Yes,Adryan
,"July 13, 2025 9:36 AM",training,None,09:30,"Tried to work on leaving him on the mat, not his day. More block work. Should add cue soon? Some come commands. He likes that",🎉 ,Medium,Yes,Adryan
,"July 13, 2025 8:54 AM",potty,"Pee, Poop",08:25,Morning pee & poop combo. Was pretty distracted but he came through. ,🎉 ,High,Yes,Haile
,"July 12, 2025 9:39 AM",meal,,08:15,Hungry boy. Started some two paw foot work. Nice Start. More mat work. Working on leaving to the garage from mat with more duration. Now 3 sec?,🎉 ,High,Yes,Adryan
,"July 12, 2025 9:39 AM",training,,08:15,Hungry boy. Started some two paw foot work. Nice Start. More mat work. Working on leaving to the garage from mat with more duration. Now 3 sec?,🎉 ,High,Yes,Adryan
,"July 12, 2025 8:01 AM",potty,"Pee, Poop",07:50,Just woke up from about a 12ish hour overnight sleep. Did not bark or whine to get let out.  Big pee and nice poop!,🎉 ,Medium,Yes,Adryan
,"July 8, 2025 2:28 PM",potty,"Pee, Poop",14:25,A pee n poop out on a walk,🎉 ,Medium,Yes,Adryan
,"July 8, 2025 9:12 AM",meal,None,09:10,Worked on mat. He was struggling with me working on leaving. So we worked on come and leave it mostly,🎉 ,High,Yes,Adryan
,"July 8, 2025 9:12 AM",training,None,09:10,Worked on mat. He was struggling with me working on leaving. So we worked on come and leave it mostly,🎉 ,High,Yes,Adryan
,"July 8, 2025 7:59 AM",potty,"Pee, Poop",07:44,Just woke up for the day. He was wide awake. Quick cuddles and a pee and a poop without too much sniffing and distraction ,🎉 ,Low,Yes,Adryan
,"July 7, 2025 11:11 PM",potty,Pee,23:05,Tiny pee,🎉 ,Low,Yes,Adryan
,"July 7, 2025 7:41 PM",meal,None,19:40,Fed via shuffle mat,🎉 ,Medium,Yes,Adryan
,"July 2, 2025 11:46 PM",potty,Pee,23:30,Light movement in the crate. Took him out one more time before bed. ,🎉 ,High,Yes,Haile
,"July 2, 2025 7:06 PM",potty,Pee,18:53,"end of training, it was a clear signal and scratching at the door and sitting by the door. I thought it was a pooped low and behold it was a pee, but it was with purpose.",🎉 ,High,Yes,Haile
,"July 2, 2025 7:04 PM",meal,None,18:26,"we began the session with leave it and some downs. We also worked on kennel and go to bed. We up the duration or leave it. I was also able to get some successful runs with an open hand and even using the tree on the ground only once he seemed to be very aware of his mistakes and seem to jump at himself, we couldn’t get the correct answer or troops interesting observation today trainer Haile over and out that way",🎉 ,High,Yes,Haile
,"July 2, 2025 7:04 PM",training,None,18:26,"we began the session with leave it and some downs. We also worked on kennel and go to bed. We up the duration or leave it. I was also able to get some successful runs with an open hand and even using the tree on the ground only once he seemed to be very aware of his mistakes and seem to jump at himself, we couldn’t get the correct answer or troops interesting observation today trainer Haile over and out that way",🎉 ,High,Yes,Haile
,"July 2, 2025 4:11 PM",potty,Pee,16:00,"He is very tired from daycare , almost didn’t want to leave the carrier. Took him outside and he was focused. Gave him a frozen puck for cooldown into his nap. ",🎉 ,Low,Yes,Haile
,"July 1, 2025 3:49 PM",potty,Pee,15:30,"Woke up from nap very cuddly. Went out, sniffed and peed. ",🎉 ,Low,Yes,Adryan
,"July 1, 2025 9:45 AM",potty,Pee,09:40,Tiny pee,🎉 ,Medium,Yes,Adryan
,"July 1, 2025 7:48 AM",potty,"Pee, Poop",07:35,"Woke up from sleeping. Hadn't gone to potty in like 10hrs? Held it the whole time! Peed a long time after sniffing, distracted by the cars over the fence and the noise of the bigger trucks. Finally pooped! A big one",🎉 ,Medium,Yes,Adryan
,"June 30, 2025 8:53 PM",note,None,20:00,"Took a bath @ concord house. Was able to groom the back half of him and his little forearms before he got fiesty and it was too much. Was able to Dremel and back ones and cut all 4 nails earlier in the day. 

++the chaps are working!!!",🎉 ,High,Yes,Both
,"June 30, 2025 8:52 PM",potty,Pee,20:38,clear signal of scratching at the door. Took him out and he handled business. ,🎉 ,High,Yes,Haile
,"June 30, 2025 8:44 AM",potty,Pee,08:30,Was a bit too feisty and barky. put him into the x-pen and he gave a very firm bark. Took him out and he had to focus a bit. Eventually he handled business. ,🎉 ,High,Yes,Haile
,"June 30, 2025 5:28 AM",potty,"Pee, Poop",05:20,Everyone was sleeping. I heard him whimpering softly in the crate. Pooped almost immediately outside. Had some soft stool. Squatted twice. 1st was stool n stuff. 2nd was mucus-ish. Within normal.limits (wnl). Also got a pee out of him as well. ,🎉 ,Low,Yes,Adryan
,"June 29, 2025 7:22 PM",meal,None,19:10,"Worked on some light mat work, and down off of mat, as well as some start work for leave it",🎉 ,Medium,Yes,Adryan
,"June 29, 2025 7:22 PM",training,None,19:10,"Worked on some light mat work, and down off of mat, as well as some start work for leave it",🎉 ,Medium,Yes,Adryan
,"June 29, 2025 6:55 PM",potty,Poop,18:50,Wandering around. Sat clearly at the door by the leashes. Needing to go out. Pooped pretty quickly. ,🎉 ,Low,Yes,Adryan
,"June 29, 2025 12:46 PM",potty,Pee,12:00,post farmers market pee. Was pretty tired from all the farmers market sniffing & training session. ,🎉 ,High,Yes,Both
,"June 29, 2025 9:25 AM",note,None,08:20,"Worked on increasing duration and distraction for ""go to bed"" can go out the door for a moment. Need to add duration. ",🎉 ,High,Yes,Adryan
,"June 29, 2025 9:25 AM",training,None,08:20,"Worked on increasing duration and distraction for ""go to bed"" can go out the door for a moment. Need to add duration. ",🎉 ,High,Yes,Adryan
,"June 29, 2025 9:23 AM",potty,Poop,08:30,Poop!,🎉 ,High,Yes,Adryan
,"June 28, 2025 11:09 PM",potty,"Pee, Poop",11:00,Got him up from resting/sleeping. Very amped up 1st going outside. Chasing a shadow? Did a tiny pee and finally pooped after much sniffing,🎉 ,Low,Yes,Adryan
,"June 28, 2025 8:23 PM",potty,Pee,20:20,Peed after resting and meal time ,🎉 ,Low,Yes,Adryan
,"June 28, 2025 12:33 PM",potty,Pee,12:12,was put down for a nap and wouldn’t settle. he barked a few times so figured he had to pee cuz i knew he wasn’t hungry. ,🎉 ,High,Yes,Haile
,"June 28, 2025 11:19 AM",potty,Poop,11:00,He barked as a signal and whined a bit. I took it and ran with it. ,🎉 ,High,Yes,Haile
,"June 28, 2025 8:45 AM",meal,None,08:27,"The, this morning was a slow morning for the both of us because of the day that we had yesterday I wet his food and had it soaking in water and used a glove to feed him. We started working on the Leavitt pattern as well as the look at me pattern very similar patterns. He seemed to get the hang of leave it pattern curious to see how we can add duration and distance with the leave it. I think it’s a good pattern for him to be using every day because it slows down his eating and it forces him to be patient which is what causes the choking in the first place, so with all of that, we had a successful training session I was very aware and privy to his digestion in him, swallowing each piece and waiting at least five seconds in between each piece of kibble",🎉 ,High,Yes,Haile
,"June 28, 2025 8:45 AM",training,None,08:27,"The, this morning was a slow morning for the both of us because of the day that we had yesterday I wet his food and had it soaking in water and used a glove to feed him. We started working on the Leavitt pattern as well as the look at me pattern very similar patterns. He seemed to get the hang of leave it pattern curious to see how we can add duration and distance with the leave it. I think it’s a good pattern for him to be using every day because it slows down his eating and it forces him to be patient which is what causes the choking in the first place, so with all of that, we had a successful training session I was very aware and privy to his digestion in him, swallowing each piece and waiting at least five seconds in between each piece of kibble",🎉 ,High,Yes,Haile
,"June 28, 2025 6:13 AM",potty,Poop,06:00,"A little morning jaunt around the cul-de-sac. He didn’t have much food yesterday, so the poop was small and he was very distracted by all of the birds this morning.",🥴,High,Yes,Haile
,"June 28, 2025 5:44 AM",potty,Pee,05:30,"I was woken up to really painful cramps in the beginning of my cycle. He obviously heard me get up and shower and so he barked for signal to go pee. We were successful, gave him a puck once back inside. ",🥴,High,Yes,Haile
,"June 27, 2025 8:50 PM",potty,"Pee, Poop",20:25,post vet poop & pee. ,🎉 ,Medium,No,Haile
,"June 27, 2025 5:31 PM",potty,"Pee, Poop",17:02,Freshly woken up from a nap we were able to get a PE very successfully albeit a bit reluctantly I knew he had to poop because he ate a lot of food so we got the poop eventually and that was a win now we’re off to Wilco to do some exposure,❌,Medium,Yes,Haile
,"June 27, 2025 12:27 PM",potty,Pee,12:15,"he was pretty antsy in the ex pen. I knew that the last time that he went pee was earlier this morning so I had a feeling around this time mid morning early afternoon is when he would need to go. He also gave me a pretty firm bark to signal to me or what I’m assuming was a signal so I took it as that I got the treat from the refrigerator and put it in my pocket and he was fighting me with the harness , I was pretty still and then I let him winn  working on the tug winning thing something I’m thinking about regardless we got the harness on got the leash on pretty distracted coming out not a lot of oomph  to get to the spot so a bit of coaxing eventually we got there and he had to go like I thought. did a little walk around the backyard little hellos the people working back into the crate with a frozen puck in the sheet covered and some water",🎉 ,Medium,Yes,Haile
,"June 27, 2025 8:37 AM",meal,None,08:05,"today we started to work on bed within the X pen. It was a bit difficult because as I’ve learned dogs cannot generalize. So we got a few successful iterations of the behavior. We are working on extrapolating that behavior for further stints longer stints if you will. we also worked on look at me, find it, kennel, down. I’d say it was a successful session after the session. I did a few more bonus treats and tried to reinforce the behavior of bed while the expends gate is closed and me touching the handle he’s very excited, but he’s very smart and I know he can get it. I left him in the apartment with FaceTime open to see his behavior had a bit of barking and he heard me out in the backyard, but I did give him a puck before I left the space that kept him distracted. I heard a barking maybe like 10 seconds in and it will die down then he passed around and he heard me outside and he was having FOMO so that was that. ",🎉 ,High,Yes,Haile
,"June 27, 2025 8:37 AM",training,None,08:05,"today we started to work on bed within the X pen. It was a bit difficult because as I’ve learned dogs cannot generalize. So we got a few successful iterations of the behavior. We are working on extrapolating that behavior for further stints longer stints if you will. we also worked on look at me, find it, kennel, down. I’d say it was a successful session after the session. I did a few more bonus treats and tried to reinforce the behavior of bed while the expends gate is closed and me touching the handle he’s very excited, but he’s very smart and I know he can get it. I left him in the apartment with FaceTime open to see his behavior had a bit of barking and he heard me out in the backyard, but I did give him a puck before I left the space that kept him distracted. I heard a barking maybe like 10 seconds in and it will die down then he passed around and he heard me outside and he was having FOMO so that was that. ",🎉 ,High,Yes,Haile
,"June 27, 2025 7:05 AM",potty,"Pee, Poop",07:00,"woke up from a deep slumber heard him tussling about in the crate. I knew he had to go, but I was a little bit tired so I allowed us to wait an extra 10 to 20 minutes and he was compliant. I’m very proud of him for that we decided to come downstairs with the trash we met with JT who was taking the trash down and we had some runs in the driveway tried to collect a little bit of footage. We did our best will post this afternoon. Happy Friday all is well. Peace and blessings. ",🎉 ,High,Yes,Haile
,"June 26, 2025 10:06 PM",potty,"Pee, Poop",20:26,Went out for our final scene of the evening. Was able to get a poop pretty quickly and then a pee shortly after but after a treat of course. ,🎉 ,High,Yes,Haile
,"June 26, 2025 7:14 PM",potty,Pee,19:08,After running amuck in the main house - he found the will to pee outside thankfully. ,🎉 ,High,Yes,Haile
,"June 26, 2025 6:20 PM",meal,None,18:00,"Always enthusiastic around meal time. We tried the Look at Me & 123 CU patterns. Only second day so we’re getting the hang of it. Still
working on his impulse control as it pertains to being patient with the food. Will do more reading. ",🎉 ,High,Yes,Haile
,"June 26, 2025 6:20 PM",training,None,18:00,"Always enthusiastic around meal time. We tried the Look at Me & 123 CU patterns. Only second day so we’re getting the hang of it. Still
working on his impulse control as it pertains to being patient with the food. Will do more reading. ",🎉 ,High,Yes,Haile
,"June 26, 2025 6:19 PM",potty,Pee,17:27,"Woke up from a nap with a barky demand. Reluctant to go down stairs , he’s spoiled. Got a pee out of him tho. And then we walked around the cul de sac. ",🥴,Medium,Yes,Haile
,"June 26, 2025 12:45 PM",potty,Poop,12:22,"Walking around lowes , i asked about plastic and Kudos took a fat shit in the paint section. at least it was solid. tragic smh. ",🥴,High,No,Haile
,"June 26, 2025 10:25 AM",potty,Pee,10:19,"woke up from a nap. Barked at me with some urgency, I had a feeling it was a pee signal. Pretty reluctant to use stairs, even yawned on the way down. He was distracted but with some patience we got a pee. ",🎉 ,High,Yes,Haile
,"June 26, 2025 9:51 AM",meal,None,08:30,"Jumped straight into training after some toy play. We did a new ‘Look at me’ pattern, as well kennel & down. As well as a few find its. I think the look at me will help with his focus when there is distractions. It’s from the puppy course. ",🎉 ,High,Yes,Haile
,"June 26, 2025 9:51 AM",training,None,08:30,"Jumped straight into training after some toy play. We did a new ‘Look at me’ pattern, as well kennel & down. As well as a few find its. I think the look at me will help with his focus when there is distractions. It’s from the puppy course. ",🎉 ,High,Yes,Haile
,"June 26, 2025 7:31 AM",potty,"Pee, Poop",07:19,woke up from a deep sleep. No whining from what i heard. Immediate pee and then a driveway walk down and we got a poop. did a little cul de sac loop to wake us up ,🎉 ,High,Yes,
,"June 25, 2025 9:57 PM",potty,Pee,21:48,Final pee before bed. Wasn’t super focused but understood what was going on finally. Pretty resistant to coming down the stairs as usual. ,🥴,Low,Yes,Haile
,"June 25, 2025 8:11 PM",potty,"Pee, Poop",19:54,"post nap pee & poop. He wasn’t very high energy , probably still sleepy from the nap. Got the pee, rewarded him and then he started choking ! Went upstairs and then relaxed for a bit. Came back down and started a walk on the block. He clearly needed to go based off his walk, very slow. Then he pooped and his energy came back a little. ",🎉 ,Medium,Yes,Haile
,"June 25, 2025 2:42 PM",potty,"Pee, Poop",14:28,saw him sniffin around more than usual. when he doesn’t respond to his name i know something is up. He walked himself to the front of the house and pooped. And then i saw him sniffing again and this time i knew he had to pee so took him to the spot and he delivered. I’m Getting better at knowing when he’s being suspicious. ,🎉 ,High,Yes,Haile
,"June 25, 2025 11:28 AM",potty,Pee,11:00,"Was vocal while in the crate , no true nap was taken. Ended up taking him out for a pee. He was a bit distracted but he ended up figuring it out. ",🥴,High,Yes,Haile
,"June 25, 2025 8:27 AM",meal,,08:10,"Eager for breakfast as he typically is. Very enthusiastic about being in a down and going into the kennel. so we practiced that. I think today we’ll work on the separating thing and see how that lands. Minimal crying this morning when taken out of the crate as well. He played by himself for a bit and then came to me when he was ready for real food. Now he’s in the xpen , looking for last bits of food. ",🎉 ,High,Yes,Haile
,"June 25, 2025 8:27 AM",training,,08:10,"Eager for breakfast as he typically is. Very enthusiastic about being in a down and going into the kennel. so we practiced that. I think today we’ll work on the separating thing and see how that lands. Minimal crying this morning when taken out of the crate as well. He played by himself for a bit and then came to me when he was ready for real food. Now he’s in the xpen , looking for last bits of food. ",🎉 ,High,Yes,Haile
,"June 25, 2025 7:57 AM",potty,"Pee, Poop",07:29,went outside after a brief morning cuddle session. Immediate pee was needed based off the urgency. walked down the driveway and was also given a poop this morning ! So we’re starting off strong with a combo release morning. ,🎉 ,High,Yes,Haile
,"June 24, 2025 9:25 PM",potty,Poop,21:00,Quite demanding with his barking and grumbles. clearly he was grumpy. took him out and struggled for a bit to get a poop but we got one !,🥴,High,Yes,Haile
,"June 24, 2025 8:54 PM",potty,Pee,20:34,was barking at me and i took him out. ,🎉 ,High,Yes,Haile
,"June 24, 2025 8:53 PM",meal,,19:48,"Worked on kennel, bed & find it. Fed rest thru snuffle mat and various towels. ",🎉 ,High,Yes,Haile
,"June 24, 2025 8:53 PM",training,,19:48,"Worked on kennel, bed & find it. Fed rest thru snuffle mat and various towels. ",🎉 ,High,Yes,Haile
,"June 24, 2025 7:27 PM",potty,Pee,19:20,Small pee outside,🎉 ,Low,Yes,Adryan
